Cena,Cena za metr,Pokoje,Powierzchnia1,Link,Powierzchnia,Forma własności,Liczba pokoi,Stan wykończenia,Piętro,Balkon / ogród / taras,Czynsz,Miejsce parkingowe,Obsługa zdalna,Ogrzewanie
800000,22857,2,35,https://www.otodom.pl/pl/oferta/przestronne-i-jasne-mieszkanie-na-starym-zoliborzu-ID4o2rv,35 m²,pełna własność,2 ,do zamieszkania,3/4,Zapytaj,500 zł,Zapytaj,Zapytaj,miejskie
1060000,13086,4,81,https://www.otodom.pl/pl/oferta/idealne-dla-rodziny-parking-komorka-lok-ID4o2rj,81 m²,pełna własność,4 ,Zapytaj,4/5,balkon,850 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj
899999,14820,3,"60,73",https://www.otodom.pl/pl/oferta/komfortowo-i-nowoczesnie-400m-od-stacji-ursus-ID4o2rh,"60,73 m²",pełna własność,3 ,Zapytaj,4/4,Zapytaj,890 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj
636000,15813,1,"40,22",https://www.otodom.pl/pl/oferta/1-2pokojebalkonkamienica2-90hparkmetro-ID4o2qX,"40,22 m²",pełna własność,Zapytaj,do zamieszkania,3/3,balkon,548 zł,Zapytaj,Zapytaj,miejskie
619000,18105,2,"34,19",https://www.otodom.pl/pl/oferta/nowe-wykonczone-przy-galerii-polnocnej-ID4o2qO,"34,19 m²",Zapytaj,2 ,do zamieszkania,2/5,taras,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
1200000,19225,3,"62,42",https://www.otodom.pl/pl/oferta/przestronne-3-pokojowe-mieszkanie-na-pradze-62m2-ID4o2qN,"62,42 m²",pełna własność,3 ,do zamieszkania,4/4,balkon,920 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj
870000,9775,3,89,https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-87m2-z-ogrodkiem-ID4o2qB,89 m²,Zapytaj,3 ,do zamieszkania,Zapytaj,ogródek,Zapytaj,Zapytaj,Zapytaj,Zapytaj
495500,13479,2,"36,76",https://www.otodom.pl/pl/oferta/nowe-w-stanie-deweloperskim-ursus-ID4o2q6,"36,76 m²",pełna własność,2 ,do wykończenia,8/8,balkon,650 zł,Zapytaj,Zapytaj,miejskie
1720000,18195,4,"94,53",https://www.otodom.pl/pl/oferta/mokotow-4-pokoje-94-53-m2-garaze-ID4o2q3,"94,53 m²",Zapytaj,4 ,do wykończenia,1/5,Zapytaj,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
1340000,17725,3,"75,6",https://www.otodom.pl/pl/oferta/3-pokoje-marina-mokotow-ID4o2pL,"75,6 m²",Zapytaj,3 ,Zapytaj,1/6,Zapytaj,1 516 zł,Zapytaj,Zapytaj,Zapytaj
610000,13261,2,46,https://www.otodom.pl/pl/oferta/mieszkanie-na-targowku-tuz-przy-stacji-metra-ID4o2p7,46 m²,spółdzielcze wł. prawo do lokalu,2 ,do zamieszkania,5/10,balkon,Zapytaj,Zapytaj,Zapytaj,miejskie
600000,14286,2,42,https://www.otodom.pl/pl/oferta/2-pokoje-kuchnia-przy-metrze-ksiecia-janusza-ID4o2p3,42 m²,Zapytaj,2 ,Zapytaj,9/10,balkon,800 zł,Zapytaj,Zapytaj,miejskie
1490000,17930,3,"83,1",https://www.otodom.pl/pl/oferta/jasny-przestronny-apartament-z-zielenia-za-oknem-ID4o2oM,"83,1 m²",pełna własność,3 ,do zamieszkania,2/3,balkon,940 zł,garaż/miejsce parkingowe,Zapytaj,miejskie
575000,11735,2,49,https://www.otodom.pl/pl/oferta/m2-na-chomiczowce-ID4o2oc,49 m²,Zapytaj,2 ,do remontu,parter/12,Zapytaj,830 zł,Zapytaj,Zapytaj,miejskie
685000,14153,2,"48,4",https://www.otodom.pl/pl/oferta/atrakcyjne-mieszkanie-dwupokojowe-ID4o2nZ,"48,4 m²",pełna własność,2 ,do zamieszkania,1/3,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie
619990,19375,2,32,https://www.otodom.pl/pl/oferta/pod-klucz-2-pokoje-uczelnia-lazarskiego-ID4o2nb,32 m²,Zapytaj,2 ,Zapytaj,8/10,balkon,450 zł,Zapytaj,Zapytaj,miejskie
624750,14700,2,"42,5",https://www.otodom.pl/pl/oferta/dwupokojowe-mieszkanie-z-15-metrowym-balkonem-ID4o2n8,"42,5 m²",pełna własność,2 ,Zapytaj,6/8,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
457000,14742,2,31,https://www.otodom.pl/pl/oferta/kawalerka-rog-sikorskiego-bonifacego-bk2-ID4o2mS,31 m²,Zapytaj,2 ,do remontu,1/12,Zapytaj,460 zł,Zapytaj,Zapytaj,Zapytaj
1324960,16900,3,"78,4",https://www.otodom.pl/pl/oferta/mieszkanie-77-4-m2-warszawa-ul-relaksowa-ID4o2mQ,"78,4 m²",spółdzielcze wł. prawo do lokalu,3 ,do zamieszkania,1/4,balkon,1 280 zł,garaż/miejsce parkingowe,Zapytaj,kotłownia
1020000,18146,3,"56,21",https://www.otodom.pl/pl/oferta/osiedle-reset-3pok-2x-loggia-msc-postojowe-ID4o2mE,"56,21 m²",pełna własność,3 ,do zamieszkania,3/6,balkon,600 zł,garaż/miejsce parkingowe,tak,miejskie
780000,11952,3,"65,26",https://www.otodom.pl/pl/oferta/klimatyzacja-jasne-loggia-parkiet-kw-ID4o2mt,"65,26 m²",Zapytaj,3 ,do zamieszkania,8/10,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie
2250000,16667,5,135,https://www.otodom.pl/pl/oferta/duza-przestren-dla-zycia-swietnia-komunikacja-ID4o2ms,135 m²,Zapytaj,5 ,do zamieszkania,2/4,Zapytaj,Zapytaj,Zapytaj,Zapytaj,miejskie
668865,15555,2,43,https://www.otodom.pl/pl/oferta/2-oddzielne-pokoje-po-remoncie-pelna-wlasnosc-ID4o2m2,43 m²,pełna własność,2 ,do zamieszkania,1,balkon,Zapytaj,Zapytaj,Zapytaj,Zapytaj
1125000,16471,3,"68,3",https://www.otodom.pl/pl/oferta/metro-zachod-balkon-garaz-ciche-2023-ID4o2lP,"68,3 m²",pełna własność,3 ,do wykończenia,3/5,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,miejskie
795000,21486,2,37,https://www.otodom.pl/pl/oferta/2-pokoje-mokotow-siekierki-ID4o2lO,37 m²,Zapytaj,2 ,Zapytaj,1/4,balkon,Zapytaj,garaż/miejsce parkingowe,Zapytaj,Zapytaj
749000,19205,2,39,https://www.otodom.pl/pl/oferta/bezposrednio-2-pokojowe-mieszkanie-z-panorama-woli-ID4o2lK,39 m²,pełna własność,2 ,do zamieszkania,10/10,balkon,600 zł,garaż/miejsce parkingowe,tak,miejskie
620160,13600,2,"45,6",https://www.otodom.pl/pl/oferta/zielona-i-spokojna-okolica-do-wlasnej-aranzacji-ID4o2kX,"45,6 m²",pełna własność,2 ,do remontu,3/8,balkon,618 zł,Zapytaj,Zapytaj,miejskie
641000,16436,2,39,https://www.otodom.pl/pl/oferta/2pk-gotowe-stan-deweloperski-metro-ID4o2kq,39 m²,pełna własność,2 ,Zapytaj,3/4,balkon,312 zł,garaż/miejsce parkingowe,Zapytaj,Zapytaj
